date,TLT,XLP,IWM,XLY,RINF,PDBC,VXUS,VTI,SMH,XSW,IGV,IEF,HYG,LQD,KRE,USO,GLD,XAR,SPY
2024-02-22,83.2280502319336,69.70540618896484,194.12127685546875,89.17243957519531,29.3866024017334,12.275823593139648,54.84020233154297,244.02699279785156,208.35533142089844,149.71104431152344,84.21220397949219,85.23914337158203,66.69550323486328,96.3228988647461,44.84892654418945,73.5999984741211,187.55999755859375,132.75706481933594,492.63873291015625
2024-02-23,84.34220886230469,69.92047119140625,194.5592803955078,88.77091979980469,29.278030395507812,12.09164047241211,54.86812973022461,244.19171142578125,207.05516052246094,151.0389404296875,84.66412353515625,85.63066864013672,66.73860931396484,96.60897827148438,44.75543975830078,71.91999816894531,188.6199951171875,132.91513061523438,492.9784851074219
2024-02-26,84.09059143066406,69.63996124267578,195.78564453125,89.04512786865234,29.3866024017334,12.202150344848633,54.747135162353516,243.4552764892578,208.77218627929688,153.92433166503906,85.47997283935547,85.50318908691406,66.52293395996094,96.30501556396484,44.334712982177734,72.79000091552734,188.1999969482422,133.34971618652344,491.17291259765625
2024-02-27,83.49760437011719,69.6492919921875,198.55966186523438,89.33892059326172,29.458984375,12.285033226013184,54.849510192871094,244.13357543945312,208.16676330566406,154.75302124023438,85.52996063232422,85.31200408935547,66.60921478271484,96.1709213256836,44.88632583618164,73.8499984741211,188.0,134.28811645507812,492.0853576660156
2024-02-28,84.0277099609375,69.72409057617188,196.92449951171875,89.69149017333984,29.47707748413086,12.238987922668457,54.44928741455078,243.72662353515625,205.854248046875,153.3352813720703,85.38199615478516,85.62158966064453,66.60057830810547,96.16194915771484,44.4001579284668,73.62000274658203,188.33999633789062,135.34507751464844,491.4350280761719
2024-02-29,84.6207046508789,69.61190032958984,198.29684448242188,90.29867553710938,29.52231788635254,12.211359977722168,54.57028579711914,244.75376892089844,210.3601837158203,154.53335571289062,86.03787231445312,85.7945785522461,66.72135162353516,96.25138092041016,45.00787353515625,73.36000061035156,189.30999755859375,135.295654296875,493.20166015625
2024-03-01,85.14801025390625,69.62125396728516,200.39926147460938,90.59736633300781,29.47707748413086,12.285033226013184,55.19389343261719,247.00189208984375,218.8857421875,154.693115234375,86.897705078125,86.18626403808594,66.97127532958984,96.83732604980469,44.512351989746094,74.95999908447266,192.88999938964844,136.13526916503906,497.8320007324219
2024-03-04,84.80549621582031,69.67735290527344,200.21429443359375,89.37320709228516,29.658035278320312,12.321869850158691,55.02635955810547,246.75961303710938,222.40911865234375,153.8644256591797,86.53176879882812,85.99453735351562,66.95394134521484,96.6578598022461,44.50300216674805,74.01000213623047,196.00999450683594,136.97486877441406,497.298095703125
2024-03-05,86.01327514648438,69.84565734863281,198.29684448242188,88.26167297363281,29.53136444091797,12.238987922668457,54.82159423828125,244.14328002929688,219.00485229492188,147.61441040039062,83.22439575195312,86.52403259277344,66.90186309814453,97.18724060058594,46.2980842590332,73.44999694824219,197.19000244140625,137.616943359375,492.32806396484375
2024-03-06,86.51802062988281,70.4347152709961,199.77633666992188,87.94828033447266,29.368507385253906,12.331079483032227,55.52896499633789,245.5871124267578,224.6521759033203,150.0305633544922,84.39617919921875,86.73405456542969,67.06672668457031,97.44747924804688,46.24199295043945,74.33999633789062,198.80999755859375,139.70114135742188,494.8227844238281
