ticker,n_obs_total,inflation_n_obs,inflation_corr,inflation_beta,inflation_r2,inflation_signed_score,inflation_score,growth_n_obs,growth_corr,growth_beta,growth_r2,growth_signed_score,growth_score,liquidity_n_obs,liquidity_corr,liquidity_beta,liquidity_r2,liquidity_signed_score,liquidity_score,primary_macro_dimension
KWEB,604,604,0.11081179923158971,0.18510780819765973,0.012279254848942146,36.00010609479877,73.73499426220704,604,0.40089355333225646,0.43790885881034164,0.16071564110336276,4.057729393083999,51.985607161669,604,0.3772047083866564,0.48157499208826154,0.14228339202906248,28.678355269723454,70.83670114732887,inflation
KYMR,604,604,0.0024580819016263604,0.006707926721600004,6.042166635103064e-06,-21.443067662543605,40.41382120553138,604,0.4310323828958741,0.7691619402104095,0.1857889151048954,44.18137149659369,72.64759233368046,604,0.32268674628041455,0.6730094734808068,0.10412673622504064,51.3945652203436,84.32824794451818,liquidity
LAES,604,604,0.05276314356284008,0.3988630415042777,0.0027839493186328722,56.391683569672956,85.56357610222143,604,0.2797217123145515,1.3827231652331666,0.07824423634018472,68.32465146540085,85.08036429970247,604,0.15340655043789694,0.8863089352542869,0.02353356971725502,60.18933508543222,89.55161264590464,growth
LAR,604,604,0.12077258302704232,0.43589526112342347,0.01458601681102383,60.28524146414753,87.82211977106581,604,0.3435197097055783,0.8107395866929239,0.11800579095620481,44.69514751165291,72.91216533474311,604,0.2341623648621152,0.6459203646526886,0.054832013117818365,46.09515366964493,81.18083651060223,inflation
LASE,604,604,-0.0017972609936768823,-0.013024468354652704,3.2301470793924143e-06,-26.95708402895859,37.21529505238388,604,0.1541842682122014,0.7306423582146684,0.02377278856413206,31.32766631864398,66.0284757263929,604,0.10497574228010725,0.5814145546295529,0.011019906467259498,34.007484313137084,74.00176230998609,liquidity
LASR,604,604,0.15250283793493616,0.4798619190706006,0.023257115578209402,63.18416017428362,89.50370116184564,604,0.5495526556596612,1.13074219392659,0.3020081213425861,69.102067815813,85.48070096563266,604,0.30942577586097114,0.7441199335087102,0.09574431076716396,57.39603972127155,87.8926266088031,growth
LCTX,604,604,0.01674579927660458,0.06443272469912233,0.0002804217934123305,2.8559442445224366,54.50899610449973,604,0.2744054689695064,0.6904135478829714,0.07529836140037474,31.958688768430083,66.35342570144878,604,0.17745270554207535,0.521832747921691,0.0314894627042025,27.32724681037476,70.0342546544057,growth
LDOS,604,604,0.055432763604681294,0.06936540703834618,0.003072791280852479,5.723215509232625,56.17221970031697,604,0.23919947410349338,0.19572781823955035,0.0572163884113878,-34.34230412066345,32.211207793362625,604,0.11286125182515278,0.10793675572549118,0.012737662163540551,-49.356734492997965,24.49032260772205,liquidity
LECO,604,604,0.05998530857254173,0.08128449933949186,0.0035982372445430484,10.972501673054829,59.21718329212018,604,0.5391206607970026,0.4777104481264944,0.29065108689819674,14.260757519429482,57.239736767159776,604,0.3391349236422825,0.35122339941729974,0.11501249643385678,-0.30488084712329,53.6230599961671,growth
LEN,604,604,-0.18586222310242795,-0.31466573991775226,0.0345447659765767,-68.20359050699767,13.289354153925768,604,0.3338370018377903,0.3695802295301969,0.11144714379604481,-7.781313401285804,45.88899893161302,604,0.41107506874417754,0.5318970237441634,0.1689827121430303,37.15482317324198,75.8710208531155,inflation
LHX,604,604,0.06013308742311778,0.06560093990430499,0.0036159882030363257,4.924763879914937,55.70906031726706,604,0.18603204703470105,0.13270896151590308,0.034607922523921225,-41.98094184584896,28.277631200166343,604,0.1757447360710902,0.14653014327624223,0.030886212256697153,-43.854225242802855,27.758357249607705,liquidity
LII,604,604,-0.032363732898256066,-0.05051039349452018,0.001047411207109662,-37.79410631281463,30.929042547171953,604,0.5285697141849448,0.5394365206530465,0.2793859427535542,21.04491354144661,60.73329128471612,604,0.40115887691957136,0.4785051755176055,0.1609284445313718,29.241618893243192,71.17123307639582,inflation
LIN,604,604,-0.01456458026480693,-0.011706153710823406,0.0002121269982900035,-26.853675653183583,37.27527934919979,604,0.2968251778293085,0.1560029864198797,0.08810518619340062,-36.45238861724405,31.12460318086096,604,0.24105035507717915,0.14807171748665493,0.05810527368283415,-41.15583016489133,29.360980378645777,liquidity
LIT,604,604,0.08835453942995221,0.13920237325643722,0.007806524637878979,26.27230305994251,68.09216871508502,604,0.48336012679319873,0.4979715374954494,0.23363701217353716,14.92289544305296,57.5807099002677,604,0.4247243558891797,0.5114144887156612,0.1803907784854786,35.01879160956045,74.6023950627954,liquidity
LITE,604,604,0.0902514652182986,0.3146715451084919,0.008145326974049762,51.65086477470394,82.81356016186243,604,0.5384176265276136,1.2275477848867262,0.2898935405556288,72.70175978560933,87.33439066588134,604,0.22027391034424554,0.586967914353679,0.04852059557834472,38.45561860808035,76.64358557763781,growth
LKQ,604,604,0.01261245111727104,0.01685757849451216,0.00015907392318555152,-17.92364357597488,42.45534035180591,604,0.3454931572167696,0.30196115036462534,0.11936552168361148,-18.378638968312536,40.43182275692744,604,0.3557837144877009,0.36343759387002256,0.12658205149466586,3.0291495837891076,55.603197865982835,growth
LLY,604,604,-0.019808431704629002,-0.03299152761174411,0.00039237396659695147,-33.090120506487416,33.657692704471806,604,0.2531100293438416,0.275662451064248,0.06406468695444034,-24.638503470320046,37.20825628243816,604,0.14856404327231187,0.18910984224753344,0.022071274953417354,-37.78967647488708,31.360196803126133,liquidity
LMND,604,604,0.05948813547849247,0.22505613029237115,0.003538838262707475,39.843989503652,75.96472315596809,604,0.44567460834296224,1.1025398816316758,0.1986258565216528,63.81554250893491,82.75836316737421,604,0.2882726208100185,0.8335122280866855,0.0831011039086767,62.29589093469986,90.80273230376427,growth
LMT,604,604,0.07499919160596312,0.08208583583711057,0.005624878741547969,11.91068599192299,59.761397687030225,604,0.02504501901600058,0.0179245777871095,0.0006272529775118307,-56.41972063073628,20.842268468496485,604,0.07735456109333497,0.06470616454842373,0.0059837281219424915,-54.86401893316185,21.21945189859325,growth
LNC,604,604,0.03681065771783533,0.06075889360456007,0.0013550245216196297,2.044986776737995,54.038582435509255,604,0.48580320847477604,0.5243395111416019,0.2360047573643867,17.759726053230917,59.041558141606146,604,0.28125028980629274,0.3547948827432934,0.07910172551612366,-1.0927477932876892,53.15513230060337,growth
LNG,604,604,0.22956104023437182,0.29956912962708687,0.05269827119348688,55.01347238703899,84.76411447220796,604,0.08404085640718077,0.07171421838432238,0.007062865545652377,-50.22788219506084,24.03080438493628,604,0.04468488129933397,0.04456640177943336,0.0019967386167355668,-57.383119101613254,19.72331509217402,liquidity
LOGI,604,604,-0.020063003891378762,-0.031693727465636805,0.00040252412514547934,-32.961464395457526,33.73232250397653,604,0.4411410521986443,0.45569132698170933,0.19460542793492702,7.9425823295980535,53.98614274521907,604,0.34361498720761946,0.4148561653163683,0.11807125943369248,15.534461060203192,63.03031688646288,inflation
LOW,604,604,-0.16354996338729685,-0.19808907702900172,0.026748590523986142,-63.29567728998396,16.136296879306713,604,0.40436077774691914,0.320254342179411,0.16350763858009335,-12.741552673037729,43.33468469418235,604,0.414525284694575,0.383715367352185,0.17183121165111845,10.175051630976792,59.84727168319686,inflation
LPX,604,604,-0.0834729772807684,-0.14838482806323347,0.006967737936115677,-57.87922616249885,19.278228175344967,604,0.43039201510179664,0.500292192815593,0.18523728666338515,13.756842221684579,56.98024162005686,604,0.3971333379187151,0.539545443094608,0.15771488808646034,37.62982555731376,76.15313291791026,inflation
LQDA,604,604,0.08161330884376368,0.23568289553933397,0.006660732180427555,41.58133353439945,76.97250767275095,604,0.2873556029109344,0.5426285939883152,0.08257324252430663,13.290250334686931,56.73996645695837,604,0.1806702089806093,0.3987509358601673,0.03264172441309703,6.392240383104389,57.600595187137635,inflation
LRCX,604,604,0.06805925807271007,0.161920236835411,0.004632062609407751,29.964084614555425,70.23366759166782,604,0.7211200821499736,1.1218568306445325,0.5200141728799846,74.83179546784167,88.43126929839936,604,0.346722965502102,0.6304412442403766,0.12021681480657183,48.24641490368469,82.4585074634204,growth
LRNZ,604,604,0.032415228032561284,0.04824902150728223,0.0010507470084029468,-4.2993294527227865,50.3584226326899,604,0.7728256837168453,0.7522061889840078,0.5972595374124094,54.63090951210017,78.0286641459993,604,0.3509549242866005,0.39924442337508975,0.1231693588810135,12.627337693946364,61.30372644614228,growth
LSCC,604,604,0.12729494118046933,0.3436627187953092,0.016204002050139145,55.56114304713653,85.08180285273275,604,0.638172678985249,1.1266146928370917,0.40726436820320966,72.06620249464244,87.00710543868176,604,0.30966199218627305,0.6389358687858441,0.09589054940477143,47.912243800593636,82.26003751242851,growth
LTRX,604,604,0.06412905608945908,0.20981219701546924,0.004112535834924989,37.53023124884536,74.62257692384298,604,0.37150273684882235,0.7947926235914284,0.13801428348616535,43.886193673306664,72.4955881912816,604,0.17617263549386195,0.4405167477006248,0.031036797496853147,14.213661289904216,62.2458712439265,growth
LULU,604,604,0.026383012462792826,0.05011072267438375,0.0006960633466118816,-3.547494034701726,50.79454125976726,604,0.4518952109061083,0.561254645403365,0.2042092816398761,21.662893228274637,61.05152478637345,604,0.25597139687629616,0.3715744220044416,0.06552135601880232,1.8743428060142815,54.917338309396236,growth
LUNR,604,604,0.07723053071105539,0.45548381798411014,0.005964554873911269,59.58666645848483,87.41689601453929,604,0.35815323857519843,1.3812387130876167,0.128273742301903,70.93218874695734,86.42313613751314,604,0.20866676358150574,0.9405573951117259,0.04354181822358001,64.04936847138445,91.8441526945524,growth
LYB,604,604,0.21080039656914473,0.3697822526098393,0.04443680719370868,60.40975991166609,87.89434942808376,604,0.21448936065799173,0.24603467636206355,0.046005685835474056,-30.11721100130892,34.38695273588953,604,0.09557793728876236,0.1281387204059316,0.009135142096374591,-48.31085685097797,25.111487281852096,inflation
MA,604,604,-0.009849721970656554,-0.009446267422528323,9.701702289923443e-05,-25.725692649925357,37.92959063456383,604,0.3805595349659217,0.238657341537087,0.1448255596534786,-25.267717863494326,36.88423738035933,604,0.17966667910740813,0.13168972600013848,0.032280115581484366,-45.0926186121931,27.022854182292498,liquidity
MANH,604,604,-0.041614677119667466,-0.0725604199744913,0.0017317813517741748,-44.03323327590794,27.309900085823703,604,0.43491297943144297,0.4958742465766238,0.18914929967793473,12.952113010259234,56.565839981465324,604,0.19806988278728016,0.2639488608391342,0.0392316784673669,-22.025226060117152,40.722974351192974,inflation
MAR,604,604,-0.012379860327622156,-0.01527150561134041,0.00015326094173143297,-27.877739555911223,36.681248617749816,604,0.5638403132826749,0.4548185416455337,0.317915898882705,11.96192419240685,56.055934459449716,604,0.3137536343148164,0.2958032663793182,0.09844134304575554,-11.235554015912642,47.13114568026349,inflation
MARA,604,604,0.07561521676980543,0.3470305738754895,0.005717661007144664,54.027484967895575,84.19217084033676,604,0.5123844807231854,1.5376958085505326,0.26253785608596836,79.49430338615805,90.83226443299141,604,0.2967502361322646,1.0408728945568073,0.08806070264455479,70.84657572494672,95.88113069180527,growth
MAS,604,604,-0.1583031669110146,-0.22040771576574286,0.025059892654056545,-64.07500237627704,15.684232267113149,604,0.43400153381479123,0.39513398218479695,0.18835733135359137,-2.624761131297118,48.544406091968696,604,0.414882673252599,0.4414795359379185,0.17212763256522282,23.118777161724566,67.53477233174982,inflation
MBLY,604,604,0.07908183404662864,0.237999655869881,0.006253936476178512,42.04299646676428,77.24030538407108,604,0.4554948325317694,0.8963940746783434,0.20747554246314467,53.84179003808283,77.62230086449487,604,0.26574445118750595,0.6112401736997091,0.07062011333694873,43.21110870161562,79.46795272691,growth
MCD,604,604,-0.1086016535785994,-0.09470050147998245,0.011794319160006112,-50.91745999165309,23.316553361533185,604,0.09925024824564617,0.05659308502472079,0.00985061177682239,-50.79608258124366,23.738205125782443,604,0.22842175826931582,0.1522304040635317,0.052176499650845753,-41.047566502901994,29.42528002481648,inflation
MCHP,604,604,0.10900382000207708,0.23818306789228516,0.01188183277504522,43.22783211277111,77.92759529202581,604,0.568737844513829,0.8126381767145142,0.3234627357822364,52.71534836750782,77.04223086400704,604,0.2828389514156397,0.472341902478207,0.07999787243789859,23.58719398737808,67.81297312042155,growth
MCO,604,604,-0.14750027512298491,-0.16706109255122092,0.02175633116135624,-60.67044613724097,17.659119798594737,604,0.474304112318412,0.35128152012171554,0.2249643909621568,-5.89141956091907,46.862214633358036,604,0.35661587447478854,0.3086961744889963,0.12717488192741813,-7.396751271689278,49.4110764865666,inflation
MDB,604,604,0.050930890811393195,0.1339664870457865,0.002593955638842056,23.724380120197708,66.61419012064049,604,0.45480753131281837,0.7822732343350205,0.20684989053886027,45.976464654149694,73.57198967797234,604,0.19322214354479417,0.3884363652967042,0.03733479675604504,3.805103066395838,56.06404995115847,growth
MDGL,604,604,-0.015150124938542384,-0.03976549694789466,0.00022952628565344388,-34.57787342046803,32.79468899019696,604,0.26610868976300295,0.45673593564318976,0.07081383476738215,1.9540157819167416,50.90228328673357,604,0.21096121638320037,0.42319537212088865,0.04450463481787949,11.854542044311486,60.844749852142776,inflation
MDT,604,604,-0.025369304388962427,-0.024580598018492907,0.0006436016051798283,-31.22125898694702,34.74176682570031,604,0.19965371085185207,0.1264961181551676,0.039861604256914956,-42.054448162513225,28.239778544092697,604,0.26909864169189207,0.1992707154042809,0.07241407896042132,-31.782605741841984,34.927899165671505,growth
MELI,604,604,-0.006993828224539884,-0.012674390269730157,4.8913633234370705e-05,-27.001397744472662,37.189589909599356,604,0.42396097617713796,0.502404966892812,0.17974290932107173,13.806888134453791,57.00601315657116,604,0.2410663801925836,0.33388495508643107,0.05811299965915527,-7.176433307016188,49.54192710544669,inflation
MESO,604,604,0.03796984747703874,0.14477456440801356,0.0014417093174295854,25.4718018045535,67.62782040147025,604,0.27525012658202747,0.6862729293951108,0.07576263218342215,31.02528882190535,65.87276405550705,604,0.12070401216692872,0.35174117461250465,0.014569458553194076,-7.674830473628394,49.2459204779524,growth
MET,604,604,0.1516772594059984,0.17779528741332976,0.023005991020914534,36.46743423794011,74.0060782033146,604,0.47273104425764223,0.36235129881266115,0.2234746402049209,-4.433249429818506,47.61311081445109,604,0.2521638800029788,0.2259075470197929,0.06358662237815668,-26.597544623176173,38.00739591626641,inflation
META,604,604,0.0053159640501909775,0.008583534403379667,2.8259473782922862e-05,-20.655211099513156,40.87083468795965,604,0.605029505238275,0.6388171950406266,0.3660607022088719,37.477619984926925,69.19544275130764,604,0.2750781756152587,0.339459792370956,0.07566800269981912,-4.610359091561183,51.065962604243744,growth
MGA,604,604,0.007439949612086318,0.01164159971236168,5.535285023038335e-05,-19.755474779449997,41.392746477737255,604,0.4710345711399137,0.4819604236347968,0.22187356720896242,12.428008931695924,56.295948462845715,604,0.39367040506479034,0.470785983412346,0.1549763878238761,27.191162589966066,69.95343190131467,liquidity
